telemetry_id,asset_id,timestamp,temperature_c,vibration_mm_s,current_amps,voltage_v,operating_hours,runtime_hours,is_abnormal,failure_risk
21,HVAC-AHU-001,2026-08-28T16:17:19,22.3,1.02,24.9,412.5,14214.4,1.0,0,0.47
22,HVAC-AHU-001,2026-08-28T17:17:19,22.4,1.12,24.7,421.4,14215.4,1.0,0,0.47
23,HVAC-AHU-001,2026-08-28T18:17:19,24.1,1.26,25.7,417.3,14216.4,1.0,0,0.47
24,HVAC-AHU-001,2026-08-28T19:17:19,23.5,1.19,25.6,411.2,14217.4,1.0,0,0.47
25,HVAC-AHU-001,2026-08-28T20:17:19,23.4,1.1,25.4,414.3,14218.4,1.0,0,0.47
26,HVAC-AHU-001,2026-08-28T21:17:19,25.3,1.32,25.4,418.0,14219.4,1.0,0,0.47
27,HVAC-AHU-001,2026-08-28T22:17:19,22.7,1.27,25.4,415.0,14220.4,1.0,0,0.47
28,HVAC-AHU-001,2026-08-28T23:17:19,24.0,1.21,5.0,410.6,14220.6,0.2,0,0.47
29,HVAC-AHU-001,2026-08-29T00:17:19,24.9,1.11,0.0,419.4,14220.6,0.0,0,0.47
30,HVAC-AHU-001,2026-08-29T01:17:19,24.0,1.23,0.7,417.8,14220.6,0.0,0,0.47
31,HVAC-AHU-001,2026-08-29T02:17:19,24.7,1.14,0.0,416.0,14220.6,0.0,0,0.47
32,HVAC-AHU-001,2026-08-29T03:17:19,22.7,1.56,4.3,412.4,14220.8,0.2,0,0.47
33,HVAC-AHU-001,2026-08-29T04:17:19,23.9,1.31,0.7,410.4,14220.8,0.0,0,0.47
34,HVAC-AHU-001,2026-08-29T05:17:19,23.0,1.07,5.5,413.5,14221.0,0.2,0,0.47
35,HVAC-AHU-001,2026-08-29T06:17:19,26.4,1.21,25.0,416.2,14222.0,1.0,0,0.47
36,HVAC-AHU-001,2026-08-29T07:17:19,24.2,1.45,25.4,415.0,14223.0,1.0,0,0.47
37,HVAC-AHU-001,2026-08-29T08:17:19,24.6,1.39,25.2,414.8,14224.0,1.0,0,0.47
38,HVAC-AHU-001,2026-08-29T09:17:19,24.1,1.18,25.4,418.7,14225.0,1.0,0,0.47
39,HVAC-AHU-001,2026-08-29T10:17:19,23.3,1.23,25.7,416.4,14226.0,1.0,0,0.47
40,HVAC-AHU-001,2026-08-29T11:17:19,25.1,1.25,25.4,414.4,14227.0,1.0,0,0.47
41,HVAC-AHU-001,2026-08-29T12:17:19,23.9,1.16,25.6,415.5,14228.0,1.0,0,0.47
42,HVAC-AHU-001,2026-08-29T13:17:19,23.3,1.28,24.8,415.6,14229.0,1.0,0,0.47
43,HVAC-AHU-001,2026-08-29T14:17:19,23.6,1.34,24.7,416.3,14230.0,1.0,0,0.47
44,HVAC-AHU-001,2026-08-29T15:17:19,25.0,1.26,25.5,414.2,14231.0,1.0,0,0.47
45,HVAC-AHU-001,2026-08-29T16:17:19,22.3,1.02,24.5,417.5,14232.0,1.0,0,0.47
46,HVAC-AHU-001,2026-08-29T17:17:19,23.0,1.11,24.9,416.9,14233.0,1.0,0,0.47
47,HVAC-AHU-001,2026-08-29T18:17:19,24.1,1.21,24.7,412.9,14234.0,1.0,0,0.47
48,HVAC-AHU-001,2026-08-29T19:17:19,26.3,1.48,25.5,413.7,14235.0,1.0,0,0.47
49,HVAC-AHU-001,2026-08-29T20:17:19,22.4,1.25,23.9,417.1,14236.0,1.0,0,0.47
50,HVAC-AHU-001,2026-08-29T21:17:19,24.1,1.09,24.4,415.4,14237.0,1.0,0,0.47
51,HVAC-AHU-001,2026-08-29T22:17:19,23.8,1.29,25.5,422.3,14238.0,1.0,0,0.47
52,HVAC-AHU-001,2026-08-29T23:17:19,23.5,1.19,5.4,413.2,14238.2,0.2,0,0.47
53,HVAC-AHU-001,2026-08-30T00:17:19,24.1,0.92,0.4,414.9,14238.2,0.0,0,0.47
54,HVAC-AHU-001,2026-08-30T01:17:19,24.7,1.14,4.7,420.8,14238.4,0.2,0,0.47
55,HVAC-AHU-001,2026-08-30T02:17:19,23.3,1.37,0.0,415.6,14238.4,0.0,0,0.47
56,HVAC-AHU-001,2026-08-30T03:17:19,23.6,1.09,4.5,414.0,14238.6,0.2,0,0.47
57,HVAC-AHU-001,2026-08-30T04:17:19,22.7,1.5,0.2,422.2,14238.6,0.0,0,0.47
58,HVAC-AHU-001,2026-08-30T05:17:19,23.2,0.95,0.0,412.7,14238.6,0.0,0,0.47
59,HVAC-AHU-001,2026-08-30T06:17:19,25.7,1.03,25.0,412.8,14239.6,1.0,0,0.47
60,HVAC-AHU-001,2026-08-30T07:17:19,23.5,1.01,25.3,418.2,14240.6,1.0,0,0.47
61,HVAC-AHU-001,2026-08-30T08:17:19,24.7,1.19,24.8,415.8,14241.6,1.0,0,0.47
62,HVAC-AHU-001,2026-08-30T09:17:19,23.9,1.03,25.2,413.4,14242.6,1.0,0,0.47
63,HVAC-AHU-001,2026-08-30T10:17:19,24.7,1.2,24.6,414.1,14243.6,1.0,0,0.47
64,HVAC-AHU-001,2026-08-30T11:17:19,22.0,1.35,24.9,417.9,14244.6,1.0,0,0.47
65,HVAC-AHU-001,2026-08-30T12:17:19,23.6,0.86,25.3,418.9,14245.6,1.0,0,0.47
66,HVAC-AHU-001,2026-08-30T13:17:19,23.1,1.15,24.0,414.2,14246.6,1.0,0,0.47
67,HVAC-AHU-001,2026-08-30T14:17:19,24.7,1.18,24.3,411.5,14247.6,1.0,0,0.47
68,HVAC-AHU-001,2026-08-30T15:17:19,23.5,1.08,24.8,415.3,14248.6,1.0,0,0.47
69,HVAC-AHU-001,2026-08-30T16:17:19,23.1,0.76,25.4,414.5,14249.6,1.0,0,0.47
70,HVAC-AHU-001,2026-08-30T17:17:19,24.2,1.27,25.1,409.4,14250.6,1.0,0,0.48
71,HVAC-AHU-001,2026-08-30T18:17:19,22.2,1.42,24.6,416.0,14251.6,1.0,0,0.48
72,HVAC-AHU-001,2026-08-30T19:17:19,23.6,1.17,25.7,411.7,14252.6,1.0,0,0.48
73,HVAC-AHU-001,2026-08-30T20:17:19,23.5,1.22,25.2,414.1,14253.6,1.0,0,0.48
74,HVAC-AHU-001,2026-08-30T21:17:19,24.1,1.23,24.8,411.9,14254.6,1.0,0,0.48
75,HVAC-AHU-001,2026-08-30T22:17:19,22.2,0.97,24.7,416.4,14255.6,1.0,0,0.48
76,HVAC-AHU-001,2026-08-30T23:17:19,24.3,1.39,0.0,412.4,14255.6,0.0,0,0.48
77,HVAC-AHU-001,2026-08-31T00:17:19,23.2,1.6,4.7,413.1,14255.8,0.2,0,0.48
78,HVAC-AHU-001,2026-08-31T01:17:19,24.9,1.06,5.1,418.7,14256.0,0.2,0,0.48
79,HVAC-AHU-001,2026-08-31T02:17:19,24.2,1.14,0.0,414.4,14256.0,0.0,0,0.48
80,HVAC-AHU-001,2026-08-31T03:17:19,23.5,1.16,0.0,418.1,14256.0,0.0,0,0.48
81,HVAC-AHU-001,2026-08-31T04:17:19,24.2,1.21,0.4,413.9,14256.0,0.0,0,0.48
82,HVAC-AHU-001,2026-08-31T05:17:19,24.4,1.22,5.9,413.8,14256.2,0.2,0,0.48
83,HVAC-AHU-001,2026-08-31T06:17:19,23.2,0.98,25.4,416.1,14257.2,1.0,0,0.48
84,HVAC-AHU-001,2026-08-31T07:17:19,24.3,1.23,24.7,414.2,14258.2,1.0,0,0.48
85,HVAC-AHU-001,2026-08-31T08:17:19,24.0,1.31,25.1,411.5,14259.2,1.0,0,0.48
86,HVAC-AHU-001,2026-08-31T09:17:19,23.5,1.19,25.3,415.9,14260.2,1.0,0,0.48
87,HVAC-AHU-001,2026-08-31T10:17:19,25.6,1.27,24.3,414.7,14261.2,1.0,0,0.48
88,HVAC-AHU-001,2026-08-31T11:17:19,24.7,1.48,24.8,412.9,14262.2,1.0,0,0.48
89,HVAC-AHU-001,2026-08-31T12:17:19,23.7,1.18,24.5,409.5,14263.2,1.0,0,0.48
90,HVAC-AHU-001,2026-08-31T13:17:19,25.6,1.06,25.3,412.7,14264.2,1.0,0,0.48
91,HVAC-AHU-001,2026-08-31T14:17:19,24.8,1.53,25.4,415.9,14265.2,1.0,0,0.48
92,HVAC-AHU-001,2026-08-31T15:17:19,24.0,1.28,24.5,409.6,14266.2,1.0,0,0.48
93,HVAC-AHU-001,2026-08-31T16:17:19,22.6,1.24,24.6,413.1,14267.2,1.0,0,0.48
94,HVAC-AHU-001,2026-08-31T17:17:19,24.8,1.12,24.8,417.4,14268.2,1.0,0,0.48
95,HVAC-AHU-001,2026-08-31T18:17:19,23.6,1.15,26.4,418.4,14269.2,1.0,0,0.48
96,HVAC-AHU-001,2026-08-31T19:17:19,22.0,1.11,25.3,415.2,14270.2,1.0,0,0.48
97,HVAC-AHU-001,2026-08-31T20:17:19,25.4,1.32,24.7,416.2,14271.2,1.0,0,0.48
98,HVAC-AHU-001,2026-08-31T21:17:19,23.6,1.21,24.1,410.1,14272.2,1.0,0,0.48
99,HVAC-AHU-001,2026-08-31T22:17:19,24.0,1.24,25.1,416.8,14273.2,1.0,0,0.48
100,HVAC-AHU-001,2026-08-31T23:17:19,23.0,1.05,4.7,415.7,14273.4,0.2,0,0.48
101,HVAC-AHU-001,2026-09-01T00:17:19,23.7,1.16,0.3,412.8,14273.4,0.0,0,0.48
102,HVAC-AHU-001,2026-09-01T01:17:19,24.0,1.31,4.8,414.6,14273.6,0.2,0,0.48
103,HVAC-AHU-001,2026-09-01T02:17:19,24.1,1.29,0.0,418.7,14273.6,0.0,0,0.48
104,HVAC-AHU-001,2026-09-01T03:17:19,25.1,1.06,0.0,416.6,14273.6,0.0,0,0.48
105,HVAC-AHU-001,2026-09-01T04:17:19,23.0,1.34,4.6,415.5,14273.8,0.2,0,0.48
106,HVAC-AHU-001,2026-09-01T05:17:19,22.2,1.08,0.2,416.4,14273.8,0.0,0,0.48
107,HVAC-AHU-001,2026-09-01T06:17:19,24.5,1.39,25.0,413.1,14274.8,1.0,0,0.48
108,HVAC-AHU-001,2026-09-01T07:17:19,23.7,1.09,25.9,413.9,14275.8,1.0,0,0.48
109,HVAC-AHU-001,2026-09-01T08:17:19,24.0,1.04,24.8,412.0,14276.8,1.0,0,0.48
110,HVAC-AHU-001,2026-09-01T09:17:19,22.0,1.19,25.1,414.3,14277.8,1.0,0,0.48
111,HVAC-AHU-001,2026-09-01T10:17:19,24.1,1.1,25.4,415.6,14278.8,1.0,0,0.48
112,HVAC-AHU-001,2026-09-01T11:17:19,23.0,1.09,24.7,417.7,14279.8,1.0,0,0.48
113,HVAC-AHU-001,2026-09-01T12:17:19,24.8,1.27,24.8,411.8,14280.8,1.0,0,0.48
114,HVAC-AHU-001,2026-09-01T13:17:19,23.2,1.01,25.1,409.6,14281.8,1.0,0,0.48
115,HVAC-AHU-001,2026-09-01T14:17:19,23.8,1.11,24.4,415.3,14282.8,1.0,0,0.48
116,HVAC-AHU-001,2026-09-01T15:17:19,23.5,1.14,24.9,415.9,14283.8,1.0,0,0.48
117,HVAC-AHU-001,2026-09-01T16:17:19,24.9,1.39,24.9,417.5,14284.8,1.0,0,0.48
118,HVAC-AHU-001,2026-09-01T17:17:19,24.1,1.29,24.1,417.7,14285.8,1.0,0,0.48
119,HVAC-AHU-001,2026-09-01T18:17:19,25.0,1.17,25.3,415.2,14286.8,1.0,0,0.48
120,HVAC-AHU-001,2026-09-01T19:17:19,23.6,1.31,24.9,414.9,14287.8,1.0,0,0.48
121,HVAC-AHU-001,2026-09-01T20:17:19,23.3,1.1,24.5,412.8,14288.8,1.0,0,0.48
122,HVAC-AHU-001,2026-09-01T21:17:19,22.3,1.22,24.8,408.5,14289.8,1.0,0,0.48
123,HVAC-AHU-001,2026-09-01T22:17:19,24.2,1.11,25.7,409.0,14290.8,1.0,0,0.48
124,HVAC-AHU-001,2026-09-01T23:17:19,23.6,1.33,0.0,413.6,14290.8,0.0,0,0.48
125,HVAC-AHU-001,2026-09-02T00:17:19,23.9,1.08,5.2,415.5,14291.0,0.2,0,0.48
126,HVAC-AHU-001,2026-09-02T01:17:19,26.6,1.17,0.0,415.5,14291.0,0.0,0,0.48
127,HVAC-AHU-001,2026-09-02T02:17:19,24.6,1.31,0.5,414.3,14291.0,0.0,0,0.48
128,HVAC-AHU-001,2026-09-02T03:17:19,24.8,1.29,0.0,413.6,14291.0,0.0,0,0.48
129,HVAC-AHU-001,2026-09-02T04:17:19,24.5,1.46,4.5,414.4,14291.2,0.2,0,0.48
130,HVAC-AHU-001,2026-09-02T05:17:19,26.4,1.27,0.0,411.9,14291.2,0.0,0,0.48
131,HVAC-AHU-001,2026-09-02T06:17:19,24.4,1.3,24.8,414.0,14292.2,1.0,0,0.48
132,HVAC-AHU-001,2026-09-02T07:17:19,21.5,1.28,25.2,413.7,14293.2,1.0,0,0.48
133,HVAC-AHU-001,2026-09-02T08:17:19,25.6,1.4,24.8,412.2,14294.2,1.0,0,0.48
134,HVAC-AHU-001,2026-09-02T09:17:19,24.2,1.29,24.3,416.4,14295.2,1.0,0,0.48
135,HVAC-AHU-001,2026-09-02T10:17:19,25.7,1.17,24.9,417.2,14296.2,1.0,0,0.48
136,HVAC-AHU-001,2026-09-02T11:17:19,24.5,1.36,25.7,415.1,14297.2,1.0,0,0.48
137,HVAC-AHU-001,2026-09-02T12:17:19,24.7,1.04,25.4,417.1,14298.2,1.0,0,0.48
138,HVAC-AHU-001,2026-09-02T13:17:19,24.2,1.15,24.9,413.7,14299.2,1.0,0,0.48
139,HVAC-AHU-001,2026-09-02T14:17:19,23.2,1.1,25.5,412.7,14300.2,1.0,0,0.48
140,HVAC-AHU-001,2026-09-02T15:17:19,23.7,1.28,24.9,412.8,14301.2,1.0,0,0.48
141,HVAC-AHU-001,2026-09-02T16:17:19,23.3,1.4,26.2,415.8,14302.2,1.0,0,0.48
142,HVAC-AHU-001,2026-09-02T17:17:19,24.2,1.17,25.3,416.4,14303.2,1.0,0,0.48
143,HVAC-AHU-001,2026-09-02T18:17:19,23.3,1.17,25.4,416.9,14304.2,1.0,0,0.48
144,HVAC-AHU-001,2026-09-02T19:17:19,24.7,1.4,25.5,415.2,14305.2,1.0,0,0.48
145,HVAC-AHU-001,2026-09-02T20:17:19,24.5,1.2,25.0,415.7,14306.2,1.0,0,0.48
146,HVAC-AHU-001,2026-09-02T21:17:19,24.0,1.02,26.1,415.1,14307.2,1.0,0,0.48
147,HVAC-AHU-001,2026-09-02T22:17:19,23.3,1.0,25.5,412.5,14308.2,1.0,0,0.48
148,HVAC-AHU-001,2026-09-02T23:17:19,22.3,1.27,3.7,411.8,14308.4,0.2,0,0.48
149,HVAC-AHU-001,2026-09-03T00:17:19,25.6,1.49,0.7,415.6,14308.4,0.0,0,0.48
150,HVAC-AHU-001,2026-09-03T01:17:19,23.8,1.1,0.0,417.5,14308.4,0.0,0,0.48
151,HVAC-AHU-001,2026-09-03T02:17:19,23.0,1.33,0.0,412.9,14308.4,0.0,0,0.48
152,HVAC-AHU-001,2026-09-03T03:17:19,24.5,1.11,4.9,416.9,14308.6,0.2,0,0.48
153,HVAC-AHU-001,2026-09-03T04:17:19,23.2,1.3,0.0,417.8,14308.6,0.0,0,0.48
154,HVAC-AHU-001,2026-09-03T05:17:19,23.2,1.16,4.9,411.8,14308.8,0.2,0,0.48
155,HVAC-AHU-001,2026-09-03T06:17:19,25.3,1.34,25.4,416.4,14309.8,1.0,0,0.48
156,HVAC-AHU-001,2026-09-03T07:17:19,25.5,1.48,25.1,413.7,14310.8,1.0,0,0.48
157,HVAC-AHU-001,2026-09-03T08:17:19,24.5,1.2,25.4,416.3,14311.8,1.0,0,0.48
158,HVAC-AHU-001,2026-09-03T09:17:19,23.9,1.23,24.3,412.1,14312.8,1.0,0,0.48
159,HVAC-AHU-001,2026-09-03T10:17:19,21.9,0.93,24.3,417.0,14313.8,1.0,0,0.48
160,HVAC-AHU-001,2026-09-03T11:17:19,24.1,1.12,25.4,411.6,14314.8,1.0,0,0.48
161,HVAC-AHU-001,2026-09-03T12:17:19,22.9,1.37,24.9,413.7,14315.8,1.0,0,0.48
162,HVAC-AHU-001,2026-09-03T13:17:19,24.3,1.02,25.6,415.9,14316.8,1.0,0,0.48
163,HVAC-AHU-001,2026-09-03T14:17:19,21.3,1.07,24.6,412.2,14317.8,1.0,0,0.48
164,HVAC-AHU-001,2026-09-03T15:17:19,24.2,1.54,24.9,408.8,14318.8,1.0,0,0.48
165,HVAC-AHU-001,2026-09-03T16:17:19,24.5,1.1,25.3,415.0,14319.8,1.0,0,0.48
166,HVAC-AHU-001,2026-09-03T17:17:19,22.9,1.46,25.2,417.3,14320.8,1.0,0,0.48
167,HVAC-AHU-001,2026-09-03T18:17:19,24.1,1.14,25.7,412.8,14321.8,1.0,0,0.48
168,HVAC-AHU-001,2026-09-03T19:17:19,24.4,1.08,24.6,410.6,14322.8,1.0,0,0.48
169,CHILLER-001,2026-08-27T20:17:19,46.5,3.54,130.6,413.5,18501.0,1.0,0,0.86
170,CHILLER-001,2026-08-27T21:17:19,45.7,3.79,130.9,413.1,18502.0,1.0,0,0.86
171,CHILLER-001,2026-08-27T22:17:19,48.7,3.66,129.6,412.0,18503.0,1.0,0,0.86
172,CHILLER-001,2026-08-27T23:17:19,55.0,6.06,166.8,410.6,18504.0,1.0,1,1.0
173,CHILLER-001,2026-08-28T00:17:19,47.4,3.62,130.8,412.0,18505.0,1.0,0,0.86
174,CHILLER-001,2026-08-28T01:17:19,47.4,4.1,130.1,416.3,18506.0,1.0,0,0.86
175,CHILLER-001,2026-08-28T02:17:19,46.7,3.52,130.7,414.9,18507.0,1.0,0,0.86
176,CHILLER-001,2026-08-28T03:17:19,45.9,3.66,129.9,414.0,18508.0,1.0,0,0.86
177,CHILLER-001,2026-08-28T04:17:19,48.2,3.84,130.8,405.5,18509.0,1.0,0,0.86
178,CHILLER-001,2026-08-28T05:17:19,47.2,3.96,130.5,410.1,18510.0,1.0,0,0.86
179,CHILLER-001,2026-08-28T06:17:19,46.2,3.77,130.6,409.1,18511.0,1.0,0,0.86
180,CHILLER-001,2026-08-28T07:17:19,45.9,3.85,131.5,412.3,18512.0,1.0,0,0.86
181,CHILLER-001,2026-08-28T08:17:19,44.9,3.58,131.3,413.9,18513.0,1.0,0,0.86
182,CHILLER-001,2026-08-28T09:17:19,45.5,3.4,130.9,416.8,18514.0,1.0,0,0.86
183,CHILLER-001,2026-08-28T10:17:19,46.6,3.53,130.5,413.1,18515.0,1.0,0,0.86
184,CHILLER-001,2026-08-28T11:17:19,46.8,3.88,130.5,411.6,18516.0,1.0,0,0.86
185,CHILLER-001,2026-08-28T12:17:19,45.8,3.64,130.2,411.7,18517.0,1.0,0,0.86
186,CHILLER-001,2026-08-28T13:17:19,47.6,3.67,131.2,410.5,18518.0,1.0,0,0.86
187,CHILLER-001,2026-08-28T14:17:19,46.7,3.53,130.5,410.0,18519.0,1.0,0,0.86
188,CHILLER-001,2026-08-28T15:17:19,47.2,3.66,131.4,416.2,18520.0,1.0,0,0.86
189,CHILLER-001,2026-08-28T16:17:19,46.7,3.75,130.7,408.1,18521.0,1.0,0,0.86
190,CHILLER-001,2026-08-28T17:17:19,46.2,3.5,131.1,410.4,18522.0,1.0,0,0.86
191,CHILLER-001,2026-08-28T18:17:19,47.5,3.84,129.8,408.2,18523.0,1.0,0,0.86
192,CHILLER-001,2026-08-28T19:17:19,45.7,3.71,131.2,415.5,18524.0,1.0,0,0.86
193,CHILLER-001,2026-08-28T20:17:19,47.0,3.92,130.2,414.0,18525.0,1.0,0,0.86
194,CHILLER-001,2026-08-28T21:17:19,47.0,3.71,130.9,412.9,18526.0,1.0,0,0.86
195,CHILLER-001,2026-08-28T22:17:19,44.8,3.45,131.2,408.1,18527.0,1.0,0,0.86
196,CHILLER-001,2026-08-28T23:17:19,46.7,3.84,129.5,414.2,18528.0,1.0,0,0.86
197,CHILLER-001,2026-08-29T00:17:19,47.5,3.63,131.5,417.0,18529.0,1.0,0,0.86
198,CHILLER-001,2026-08-29T01:17:19,45.3,3.59,130.5,411.6,18530.0,1.0,0,0.86
199,CHILLER-001,2026-08-29T02:17:19,47.6,3.67,130.6,417.2,18531.0,1.0,0,0.86
200,CHILLER-001,2026-08-29T03:17:19,47.4,3.72,129.6,416.6,18532.0,1.0,0,0.86
201,CHILLER-001,2026-08-29T04:17:19,46.9,3.92,130.8,412.1,18533.0,1.0,0,0.86
202,CHILLER-001,2026-08-29T05:17:19,46.2,3.91,130.3,409.8,18534.0,1.0,0,0.86
203,CHILLER-001,2026-08-29T06:17:19,47.5,3.51,130.0,411.7,18535.0,1.0,0,0.86
204,CHILLER-001,2026-08-29T07:17:19,46.4,3.89,130.6,416.6,18536.0,1.0,0,0.86
205,CHILLER-001,2026-08-29T08:17:19,46.0,3.49,131.0,414.1,18537.0,1.0,0,0.86
206,CHILLER-001,2026-08-29T09:17:19,48.3,3.31,130.2,410.3,18538.0,1.0,0,0.86
207,CHILLER-001,2026-08-29T10:17:19,47.7,4.21,130.4,412.0,18539.0,1.0,0,0.86
208,CHILLER-001,2026-08-29T11:17:19,44.4,3.8,131.4,416.0,18540.0,1.0,0,0.86
209,CHILLER-001,2026-08-29T12:17:19,47.4,3.93,130.5,412.8,18541.0,1.0,0,0.86
210,CHILLER-001,2026-08-29T13:17:19,47.2,3.92,130.7,414.2,18542.0,1.0,0,0.86
211,CHILLER-001,2026-08-29T14:17:19,46.8,3.75,130.9,411.4,18543.0,1.0,0,0.86
212,CHILLER-001,2026-08-29T15:17:19,45.6,4.04,130.1,416.6,18544.0,1.0,0,0.86
213,CHILLER-001,2026-08-29T16:17:19,47.2,3.98,131.6,411.5,18545.0,1.0,0,0.86
214,CHILLER-001,2026-08-29T17:17:19,46.4,3.79,130.1,413.5,18546.0,1.0,0,0.86
215,CHILLER-001,2026-08-29T18:17:19,46.7,3.79,130.3,411.9,18547.0,1.0,0,0.86
216,CHILLER-001,2026-08-29T19:17:19,47.4,3.75,130.8,414.3,18548.0,1.0,0,0.86
217,CHILLER-001,2026-08-29T20:17:19,46.4,3.98,130.4,413.5,18549.0,1.0,0,0.86
218,CHILLER-001,2026-08-29T21:17:19,46.3,3.84,130.0,406.0,18550.0,1.0,0,0.86
219,CHILLER-001,2026-08-29T22:17:19,55.2,6.22,166.0,414.4,18551.0,1.0,1,1.0
220,CHILLER-001,2026-08-29T23:17:19,46.2,3.79,131.3,411.2,18552.0,1.0,0,0.86
221,CHILLER-001,2026-08-30T00:17:19,47.4,3.47,130.7,413.8,18553.0,1.0,0,0.86
222,CHILLER-001,2026-08-30T01:17:19,46.9,3.95,131.1,414.9,18554.0,1.0,0,0.86
223,CHILLER-001,2026-08-30T02:17:19,46.7,3.46,130.7,411.0,18555.0,1.0,0,0.86
224,CHILLER-001,2026-08-30T03:17:19,45.1,3.91,130.6,414.1,18556.0,1.0,0,0.86
225,CHILLER-001,2026-08-30T04:17:19,46.0,3.55,130.2,411.1,18557.0,1.0,0,0.86
226,CHILLER-001,2026-08-30T05:17:19,45.6,3.84,130.5,413.1,18558.0,1.0,0,0.86
227,CHILLER-001,2026-08-30T06:17:19,45.7,3.93,130.3,414.8,18559.0,1.0,0,0.86
228,CHILLER-001,2026-08-30T07:17:19,45.6,3.85,130.0,414.2,18560.0,1.0,0,0.86
229,CHILLER-001,2026-08-30T08:17:19,45.2,3.66,130.2,417.0,18561.0,1.0,0,0.86
230,CHILLER-001,2026-08-30T09:17:19,47.6,3.84,131.2,412.6,18562.0,1.0,0,0.86
231,CHILLER-001,2026-08-30T10:17:19,46.7,4.0,131.1,413.6,18563.0,1.0,0,0.86
232,CHILLER-001,2026-08-30T11:17:19,47.4,3.59,130.0,415.5,18564.0,1.0,0,0.86
233,CHILLER-001,2026-08-30T12:17:19,48.5,4.02,131.0,410.8,18565.0,1.0,0,0.86
234,CHILLER-001,2026-08-30T13:17:19,46.7,3.65,130.1,411.9,18566.0,1.0,0,0.86
235,CHILLER-001,2026-08-30T14:17:19,47.4,3.74,130.5,412.2,18567.0,1.0,0,0.86
236,CHILLER-001,2026-08-30T15:17:19,47.1,3.71,130.3,406.7,18568.0,1.0,0,0.86
237,CHILLER-001,2026-08-30T16:17:19,47.1,3.77,130.2,412.0,18569.0,1.0,0,0.86
238,CHILLER-001,2026-08-30T17:17:19,47.9,3.76,130.2,413.1,18570.0,1.0,0,0.86
239,CHILLER-001,2026-08-30T18:17:19,47.1,3.78,130.0,409.8,18571.0,1.0,0,0.86
240,CHILLER-001,2026-08-30T19:17:19,47.5,3.54,129.9,409.3,18572.0,1.0,0,0.86
241,CHILLER-001,2026-08-30T20:17:19,48.1,4.01,130.6,409.5,18573.0,1.0,0,0.86
242,CHILLER-001,2026-08-30T21:17:19,47.3,3.64,130.2,413.1,18574.0,1.0,0,0.86
243,CHILLER-001,2026-08-30T22:17:19,47.2,3.74,129.5,411.0,18575.0,1.0,0,0.86
244,CHILLER-001,2026-08-30T23:17:19,46.3,3.59,130.4,415.6,18576.0,1.0,0,0.86
245,CHILLER-001,2026-08-31T00:17:19,46.6,3.91,129.9,413.1,18577.0,1.0,0,0.86
246,CHILLER-001,2026-08-31T01:17:19,47.4,3.42,130.7,412.5,18578.0,1.0,0,0.86
247,CHILLER-001,2026-08-31T02:17:19,47.7,3.91,130.9,409.3,18579.0,1.0,0,0.86
