energy_id,facility_id,timestamp,electricity_usage,water_usage,hvac_usage,lighting_usage,equipment_usage,other_usage,outdoor_temp_c,occupancy_pct,is_anomaly,anomaly_score
86,1,2026-08-07T13:00:00,206.62,47.1,122.25,56.17,42.25,16.59,33.2,95.1,0,0.0
87,1,2026-08-07T14:00:00,208.26,41.68,117.56,58.46,35.16,20.6,32.5,92.2,0,0.0
88,1,2026-08-07T15:00:00,186.03,41.12,117.49,54.17,41.31,19.53,33.6,91.3,0,0.0
89,1,2026-08-07T16:00:00,230.21,41.99,102.0,59.07,35.28,17.2,31.4,93.0,0,0.0
90,1,2026-08-07T17:00:00,213.08,48.63,99.24,53.09,38.54,21.42,30.3,97.2,0,0.0
91,1,2026-08-07T18:00:00,122.93,28.92,63.7,35.18,28.41,14.2,29.8,66.4,0,0.0
92,1,2026-08-07T19:00:00,130.6,30.25,58.73,41.74,22.79,11.72,28.1,68.9,0,0.0
93,1,2026-08-07T20:00:00,153.62,25.55,63.54,44.51,23.61,14.24,29.4,57.1,0,0.0
94,1,2026-08-07T21:00:00,46.1,9.06,19.99,10.39,8.23,3.51,27.9,11.7,0,0.0
95,1,2026-08-07T22:00:00,43.91,8.44,22.84,13.22,8.48,3.76,29.4,9.9,0,0.0
96,1,2026-08-07T23:00:00,45.79,8.82,20.17,12.79,7.19,4.05,29.3,17.1,0,0.0
97,1,2026-08-08T00:00:00,35.54,7.22,15.9,10.94,6.33,3.0,29.5,18.8,0,0.0
98,1,2026-08-08T01:00:00,33.28,6.93,15.59,8.91,5.59,2.71,29.8,11.3,0,0.0
99,1,2026-08-08T02:00:00,33.92,6.79,15.4,10.0,5.65,2.72,28.3,12.1,0,0.0
100,1,2026-08-08T03:00:00,32.9,6.42,15.53,8.8,5.33,3.0,30.1,13.4,0,0.0
101,1,2026-08-08T04:00:00,31.08,6.44,15.18,10.6,5.65,2.78,29.4,9.7,0,0.0
102,1,2026-08-08T05:00:00,29.21,6.31,17.24,8.41,6.57,2.91,30.4,20.0,0,0.0
103,1,2026-08-08T06:00:00,30.95,7.01,15.79,10.49,6.12,2.38,30.6,11.7,0,0.0
104,1,2026-08-08T07:00:00,31.87,6.86,16.35,10.69,5.14,3.0,30.7,10.5,0,0.0
105,1,2026-08-08T08:00:00,74.97,10.52,43.37,17.98,11.57,6.85,34.6,28.2,0,0.0
106,1,2026-08-08T09:00:00,97.53,12.07,62.74,18.23,11.33,5.23,32.6,25.3,1,0.0
107,1,2026-08-08T10:00:00,67.18,13.88,30.56,17.36,12.06,6.47,33.8,20.2,0,0.0
108,1,2026-08-08T11:00:00,71.12,13.52,38.82,18.18,11.57,6.2,33.7,28.2,0,0.0
109,1,2026-08-08T12:00:00,68.26,12.87,38.06,18.08,11.97,5.81,32.7,31.2,0,0.0
110,1,2026-08-08T13:00:00,66.36,14.42,37.94,18.89,9.79,6.14,32.7,28.2,0,0.0
111,1,2026-08-08T14:00:00,59.91,14.01,33.49,19.76,12.18,6.31,32.7,25.5,0,0.0
112,1,2026-08-08T15:00:00,59.54,14.06,38.98,18.95,12.02,5.83,31.8,29.3,0,0.0
113,1,2026-08-08T16:00:00,62.42,15.36,35.88,17.63,13.24,6.95,31.8,30.2,0,0.0
114,1,2026-08-08T17:00:00,68.2,13.53,35.3,20.55,12.16,6.09,31.2,26.4,0,0.0
115,1,2026-08-08T18:00:00,34.46,6.14,15.9,8.39,5.99,3.05,29.9,9.1,0,0.0
116,1,2026-08-08T19:00:00,34.98,6.26,18.33,9.65,6.39,2.4,30.2,18.4,0,0.0
117,1,2026-08-08T20:00:00,34.12,6.64,15.28,8.5,6.16,3.29,29.7,18.3,0,0.0
118,1,2026-08-08T21:00:00,33.85,6.73,14.34,9.1,6.59,2.69,28.9,17.0,0,0.0
119,1,2026-08-08T22:00:00,35.4,6.38,14.21,8.27,5.94,2.84,29.0,16.1,0,0.0
120,1,2026-08-08T23:00:00,35.46,6.3,15.89,9.74,5.76,3.31,27.5,24.3,0,0.0
121,1,2026-08-09T00:00:00,35.04,6.11,17.37,10.0,6.23,2.74,29.4,11.7,0,0.0
122,1,2026-08-09T01:00:00,34.18,6.11,13.9,8.23,6.52,3.32,28.1,13.7,0,0.0
123,1,2026-08-09T02:00:00,35.78,7.41,14.44,8.86,6.72,2.73,28.1,21.3,0,0.0
124,1,2026-08-09T03:00:00,30.85,6.24,17.08,9.08,5.48,3.54,28.1,16.9,0,0.0
125,1,2026-08-09T04:00:00,31.17,6.8,15.95,8.69,5.97,3.21,30.4,10.3,0,0.0
126,1,2026-08-09T05:00:00,33.85,7.3,18.46,9.54,6.11,2.88,30.5,19.0,0,0.0
127,1,2026-08-09T06:00:00,28.5,7.38,17.25,9.42,6.37,2.91,31.4,11.5,0,0.0
128,1,2026-08-09T07:00:00,30.41,7.13,16.83,10.53,6.38,2.93,31.9,22.4,0,0.0
129,1,2026-08-09T08:00:00,66.66,13.54,31.29,19.83,12.81,6.06,31.8,32.6,0,0.0
130,1,2026-08-09T09:00:00,102.26,14.65,68.59,17.68,10.91,5.09,33.4,30.0,1,0.0
131,1,2026-08-09T10:00:00,153.42,12.85,41.85,17.19,10.89,5.87,33.9,25.0,1,0.0
132,1,2026-08-09T11:00:00,65.32,14.38,32.88,19.16,11.34,6.4,34.4,33.3,0,0.0
133,1,2026-08-09T12:00:00,67.25,13.08,36.18,17.55,12.07,5.6,33.5,25.4,0,0.0
134,1,2026-08-09T13:00:00,74.57,13.9,40.93,18.04,12.27,5.99,34.0,33.1,0,0.0
135,1,2026-08-09T14:00:00,73.3,13.81,40.52,17.97,10.8,5.36,33.8,26.4,0,0.0
136,1,2026-08-09T15:00:00,60.88,14.56,32.49,22.15,11.58,5.33,33.2,31.4,0,0.0
137,1,2026-08-09T16:00:00,59.23,13.74,37.19,19.34,12.9,5.84,32.0,37.0,0,0.0
138,1,2026-08-09T17:00:00,65.67,13.0,30.86,19.9,13.51,7.02,31.2,32.8,0,0.0
139,1,2026-08-09T18:00:00,32.26,7.05,12.62,9.28,5.17,3.36,29.6,2.9,0,0.0
140,1,2026-08-09T19:00:00,51.21,6.64,36.12,7.1,5.35,2.65,30.4,23.4,1,0.0
141,1,2026-08-09T20:00:00,36.03,7.21,14.7,9.08,6.6,2.92,28.2,22.8,0,0.0
142,1,2026-08-09T21:00:00,28.22,7.14,14.06,10.15,6.28,3.36,27.3,13.4,0,0.0
143,1,2026-08-09T22:00:00,35.23,5.79,14.43,9.97,6.23,2.78,27.1,6.8,0,0.0
144,1,2026-08-09T23:00:00,28.99,7.14,14.09,8.68,5.71,3.07,27.8,18.1,0,0.0
145,1,2026-08-10T00:00:00,42.69,8.72,20.86,12.7,8.17,4.08,28.8,10.6,0,0.0
146,1,2026-08-10T01:00:00,43.35,9.3,20.2,11.88,7.73,4.27,28.4,12.5,0,0.0
147,1,2026-08-10T02:00:00,42.03,9.78,18.42,13.19,8.05,3.88,28.9,28.1,0,0.0
148,1,2026-08-10T03:00:00,45.37,8.41,20.77,11.36,8.31,4.87,28.4,15.3,0,0.0
149,1,2026-08-10T04:00:00,44.68,7.82,16.62,11.96,8.47,4.16,29.4,22.9,0,0.0
150,1,2026-08-10T05:00:00,38.44,8.53,23.85,13.55,8.31,4.02,29.8,16.0,0,0.0
151,1,2026-08-10T06:00:00,42.89,9.2,24.2,12.17,7.43,4.1,32.0,20.3,0,0.0
152,1,2026-08-10T07:00:00,153.89,29.47,78.48,43.99,31.88,12.83,31.7,62.8,0,0.0
153,1,2026-08-10T08:00:00,173.26,30.92,88.98,44.58,29.28,15.49,33.4,75.1,0,0.0
154,1,2026-08-10T09:00:00,202.71,37.53,94.96,44.79,33.62,15.87,33.4,81.5,0,0.0
155,1,2026-08-10T10:00:00,223.34,42.39,125.76,65.46,37.55,17.87,32.5,94.6,0,0.0
156,1,2026-08-10T11:00:00,222.89,41.51,118.33,63.78,37.34,19.56,34.3,94.7,0,0.0
157,1,2026-08-10T12:00:00,205.76,43.66,103.7,57.34,33.76,20.15,32.8,94.5,0,0.0
158,1,2026-08-10T13:00:00,212.0,37.23,118.19,52.31,38.67,18.77,34.8,96.3,0,0.0
159,1,2026-08-10T14:00:00,200.26,38.2,108.96,53.72,36.55,19.21,31.5,93.3,0,0.0
160,1,2026-08-10T15:00:00,190.75,44.82,116.68,59.75,44.83,14.45,32.5,93.5,0,0.0
161,1,2026-08-10T16:00:00,205.59,36.02,108.2,63.03,39.17,18.61,31.0,97.2,0,0.0
162,1,2026-08-10T17:00:00,234.88,42.09,106.71,56.04,41.51,15.55,29.7,95.2,0,0.0
163,1,2026-08-10T18:00:00,140.52,26.61,72.19,42.38,27.15,12.82,28.6,66.8,0,0.0
164,1,2026-08-10T19:00:00,134.71,29.8,59.6,42.51,25.64,13.66,29.0,61.6,0,0.0
165,1,2026-08-10T20:00:00,142.89,27.56,69.72,39.89,24.72,13.5,29.3,57.8,0,0.0
166,1,2026-08-10T21:00:00,43.43,9.51,20.36,12.14,9.01,3.79,28.6,23.7,0,0.0
167,1,2026-08-10T22:00:00,42.03,8.06,21.25,12.1,8.07,3.68,26.9,19.1,0,0.0
168,1,2026-08-10T23:00:00,41.85,9.6,19.63,11.24,7.38,3.98,27.5,23.9,0,0.0
169,1,2026-08-11T00:00:00,47.91,9.98,21.39,11.82,8.9,3.35,25.3,23.2,0,0.0
170,1,2026-08-11T01:00:00,44.51,9.22,20.59,11.68,7.87,3.35,27.8,17.2,0,0.0
171,1,2026-08-11T02:00:00,39.54,8.98,18.98,11.06,7.67,4.05,29.4,22.6,0,0.0
172,1,2026-08-11T03:00:00,43.21,8.68,18.79,13.71,7.17,4.24,29.3,22.2,0,0.0
173,1,2026-08-11T04:00:00,43.99,9.86,22.81,10.57,9.53,3.78,31.3,15.7,0,0.0
174,1,2026-08-11T05:00:00,41.07,10.71,22.25,11.01,8.69,3.36,30.5,24.5,0,0.0
175,1,2026-08-11T06:00:00,44.62,8.36,23.71,13.15,7.85,4.63,31.9,16.1,0,0.0
176,1,2026-08-11T07:00:00,146.29,34.44,78.83,42.84,27.1,13.32,32.6,70.0,0,0.0
177,1,2026-08-11T08:00:00,162.26,30.84,88.19,41.51,31.7,15.13,33.3,73.9,0,0.0
178,1,2026-08-11T09:00:00,181.68,38.06,91.86,44.09,28.84,14.2,34.5,80.1,0,0.0
179,1,2026-08-11T10:00:00,249.6,44.02,118.27,52.16,37.65,20.52,33.2,97.0,0,0.0
180,1,2026-08-11T11:00:00,210.12,35.99,108.07,65.83,37.4,19.8,33.2,94.6,0,0.0
181,1,2026-08-11T12:00:00,224.6,44.29,105.89,59.68,38.02,18.63,33.0,99.8,0,0.0
182,1,2026-08-11T13:00:00,200.62,41.36,116.79,62.44,35.67,19.15,32.9,89.1,0,0.0
183,1,2026-08-11T14:00:00,207.18,42.44,129.46,60.55,30.08,19.31,31.9,99.6,0,0.0
184,1,2026-08-11T15:00:00,215.1,41.24,107.81,54.52,32.26,16.15,33.2,99.4,0,0.0
185,1,2026-08-11T16:00:00,180.88,46.83,97.49,62.48,39.32,20.61,31.3,97.6,0,0.0
186,1,2026-08-11T17:00:00,195.51,42.22,102.8,56.75,41.0,19.39,30.8,90.6,0,0.0
187,1,2026-08-11T18:00:00,135.82,29.61,65.76,40.08,27.08,12.41,31.2,69.9,0,0.0
188,1,2026-08-11T19:00:00,147.17,35.35,61.5,44.22,29.32,12.94,28.2,60.8,0,0.0
189,1,2026-08-11T20:00:00,161.39,27.2,63.24,37.67,26.8,11.66,27.9,52.6,0,0.0
190,1,2026-08-11T21:00:00,40.85,9.3,19.66,12.19,6.35,4.11,26.9,11.5,0,0.0
191,1,2026-08-11T22:00:00,41.36,8.06,20.87,13.63,7.1,4.29,26.7,26.0,0,0.0
192,1,2026-08-11T23:00:00,45.69,9.9,22.6,12.5,8.57,3.53,29.7,24.6,0,0.0
193,1,2026-08-12T00:00:00,40.58,9.62,21.59,12.61,8.15,3.8,29.2,14.8,0,0.0
194,1,2026-08-12T01:00:00,46.0,7.86,18.99,13.18,8.14,3.69,27.9,14.0,0,0.0
195,1,2026-08-12T02:00:00,42.53,8.9,18.89,12.15,8.53,3.95,28.2,23.3,0,0.0
196,1,2026-08-12T03:00:00,41.05,9.36,23.28,11.68,7.95,3.86,29.0,15.6,0,0.0
197,1,2026-08-12T04:00:00,43.19,10.11,22.99,11.63,7.76,3.8,31.4,24.4,0,0.0
198,1,2026-08-12T05:00:00,48.02,8.63,17.98,11.85,7.88,3.68,30.7,15.6,0,0.0
199,1,2026-08-12T06:00:00,49.23,9.59,22.19,12.15,7.13,4.44,31.5,25.1,0,0.0
200,1,2026-08-12T07:00:00,154.51,29.51,70.66,47.88,29.84,14.9,33.2,82.2,0,0.0
201,1,2026-08-12T08:00:00,182.15,32.8,94.72,49.09,26.25,17.45,32.3,70.7,0,0.0
202,1,2026-08-12T09:00:00,201.95,38.03,122.16,43.02,29.61,19.02,34.1,75.0,0,0.0
203,1,2026-08-12T10:00:00,474.3,42.45,354.95,57.97,40.47,20.9,35.1,94.6,1,0.6244
204,1,2026-08-12T11:00:00,223.79,37.84,120.8,54.96,37.48,18.95,34.3,94.2,0,0.0
205,1,2026-08-12T12:00:00,220.94,40.08,118.37,64.97,36.0,17.78,33.3,97.0,0,0.0
206,1,2026-08-12T13:00:00,213.37,42.89,91.91,60.46,40.99,17.87,33.0,96.3,0,0.0
207,1,2026-08-12T14:00:00,228.39,47.81,109.62,63.34,38.39,18.12,32.3,95.6,0,0.0
208,1,2026-08-12T15:00:00,174.14,36.53,108.85,51.74,33.35,18.28,31.5,97.6,0,0.0
209,1,2026-08-12T16:00:00,203.95,35.54,119.14,58.58,36.0,19.13,32.4,86.0,0,0.0
210,1,2026-08-12T17:00:00,183.81,42.08,94.11,54.2,34.32,16.81,31.3,100.0,0,0.0
211,1,2026-08-12T18:00:00,156.93,33.2,74.45,44.12,28.09,11.53,31.1,67.7,0,0.0
212,1,2026-08-12T19:00:00,130.03,31.04,65.22,40.67,27.46,11.78,29.0,62.5,0,0.0
213,1,2026-08-12T20:00:00,143.39,96.21,65.11,40.55,26.16,11.57,28.3,68.6,1,0.0
214,1,2026-08-12T21:00:00,43.47,7.78,21.73,12.6,8.13,4.46,28.4,19.0,0,0.0
215,1,2026-08-12T22:00:00,49.31,9.77,22.16,10.82,7.31,3.79,25.6,14.7,0,0.0
216,1,2026-08-12T23:00:00,41.33,8.49,17.91,12.12,7.94,4.07,27.3,20.0,0,0.0
217,1,2026-08-13T00:00:00,49.03,9.66,16.91,12.03,8.01,3.88,27.4,31.6,0,0.0
218,1,2026-08-13T01:00:00,42.3,8.91,17.44,13.22,8.08,4.04,28.0,22.2,0,0.0
219,1,2026-08-13T02:00:00,44.99,9.3,23.71,12.89,7.62,4.13,29.6,29.8,0,0.0
220,1,2026-08-13T03:00:00,45.45,9.88,22.5,10.93,7.64,3.87,30.0,16.1,0,0.0
221,1,2026-08-13T04:00:00,45.85,9.66,21.41,13.22,9.45,4.51,29.7,12.4,0,0.0
222,1,2026-08-13T05:00:00,41.36,7.89,25.49,11.99,7.47,3.86,30.1,24.7,0,0.0
223,1,2026-08-13T06:00:00,46.76,10.07,19.38,12.72,7.69,4.24,31.9,9.6,0,0.0
224,1,2026-08-13T07:00:00,141.66,34.98,78.39,45.33,28.93,15.92,30.2,65.5,0,0.0
225,1,2026-08-13T08:00:00,176.63,30.44,90.21,52.03,26.1,15.77,33.8,82.8,0,0.0
226,1,2026-08-13T09:00:00,158.22,35.86,100.04,46.99,32.43,19.02,33.1,75.1,0,0.0
227,1,2026-08-13T10:00:00,253.26,50.04,124.4,65.31,39.9,16.51,35.9,92.2,0,0.0
228,1,2026-08-13T11:00:00,223.07,42.78,111.7,64.54,36.61,20.7,32.9,94.3,0,0.0
229,1,2026-08-13T12:00:00,177.67,44.64,108.05,62.02,38.31,18.76,34.5,100.0,0,0.0
230,1,2026-08-13T13:00:00,200.71,39.27,106.8,62.94,39.79,17.7,32.5,88.7,0,0.0
231,1,2026-08-13T14:00:00,240.01,48.05,105.2,54.65,40.66,20.18,32.7,100.0,0,0.0
232,1,2026-08-13T15:00:00,211.74,44.15,101.28,57.62,43.76,21.13,30.4,92.5,0,0.0
233,1,2026-08-13T16:00:00,191.83,42.98,108.78,66.23,41.6,17.53,31.5,100.0,0,0.0
234,1,2026-08-13T17:00:00,188.95,42.58,101.01,58.94,37.56,17.8,30.1,94.3,0,0.0
235,1,2026-08-13T18:00:00,142.7,28.65,64.87,35.11,26.83,13.49,30.0,66.6,0,0.0
236,1,2026-08-13T19:00:00,156.07,30.96,67.61,43.52,24.52,10.1,29.5,59.0,0,0.0
237,1,2026-08-13T20:00:00,160.17,28.22,60.2,35.06,26.06,12.04,28.7,69.4,0,0.0
238,1,2026-08-13T21:00:00,44.17,8.09,18.26,12.4,8.18,4.09,28.2,18.3,0,0.0
239,1,2026-08-13T22:00:00,43.82,9.03,22.04,10.87,7.8,4.65,27.5,25.1,0,0.0
240,1,2026-08-13T23:00:00,91.4,8.77,66.54,12.03,8.83,4.01,28.5,12.1,1,0.0
241,1,2026-08-14T00:00:00,48.32,8.82,21.19,11.19,7.39,3.96,27.4,11.2,0,0.0
242,1,2026-08-14T01:00:00,42.68,9.28,19.39,12.77,8.03,3.65,27.9,15.8,0,0.0
243,1,2026-08-14T02:00:00,38.76,9.16,17.96,11.1,7.56,3.71,26.7,18.4,0,0.0
244,1,2026-08-14T03:00:00,48.3,9.28,21.18,11.58,8.01,3.96,29.5,24.9,0,0.0
245,1,2026-08-14T04:00:00,42.01,8.73,20.83,12.73,8.65,4.01,29.9,17.7,0,0.0
246,1,2026-08-14T05:00:00,45.95,9.49,21.58,12.36,8.69,3.54,31.3,15.0,0,0.0
247,1,2026-08-14T06:00:00,43.58,8.17,23.02,10.83,6.13,4.02,31.4,26.1,0,0.0
248,1,2026-08-14T07:00:00,147.1,33.26,79.7,45.34,28.89,13.4,31.9,78.3,0,0.0
249,1,2026-08-14T08:00:00,189.29,34.13,75.27,46.64,28.75,16.2,31.5,75.2,0,0.0
250,1,2026-08-14T09:00:00,164.45,32.26,89.28,51.14,33.66,15.1,33.6,77.6,0,0.0
251,1,2026-08-14T10:00:00,193.43,47.81,114.91,63.17,35.92,16.33,32.5,85.3,0,0.0
